Name,Gender,College Name,City,Stream,Monthly Average Family Income,Which Functional Area do you want to work in ?,What is most important for you while opting for your first job?,If you are already an employee are you happy with your new job ?,What factors make you most unhappy at a job?,What factors make you Happy with a job?,What are the Areas in which you did your internship ?,How much salary would you expect if you are hired for a job?,"If you find a Job that you are looking for, Relocating to a new place for Job is a problem for you ?",Which City you would prefer to work in ?,What perks you would like in your First Job ?,How much time do you spend on your Mobile everyday ?,What channels would you use looking for Jobs ?,"Will you be willing to work for a different industry if you get a Job?  (for example, you are from engineering and would you work in FInance ?)",What Industry you would prefer to work in ?,Are you interested to work on creating a startup ?,"If yes, what area you would want a startup?"
SURVID-30,Female,Vardhaman college of engineering ,Hyderabad,Engineering,"50,000 - 1,00,000",IT & Software,Job Role,,"Lack of opportunity to grow, Lack of recognition, High Work Load","High pay, Growth oppurtunities, Recognition, Low Work Load",,"30,000 - 40,000",No,,,More than 3 Hours,"Linkedin, Internshala",No,IT & Software,No,
SURVID-31,Male,Vardhaman college of engineering ,Hyderabad,Science,"50,000 - 1,00,000",IT & Software,Job Role,,"Low Pay, Lack of opportunity to grow, Lack of recognition, High Work Load","High pay, Growth oppurtunities, Recognition, Low Work Load",AI,"50,000 - 1,00,000",Yes,Banglore,"no dress code,free food, flexible working hours and snacks",More than 3 Hours,"Linkedin, Naukri, Internshala",Yes,IT & Software,No,AI
SURVID-32,Male,Vardhaman college of engineering ,Hyderabad,Engineering,"Greater than 1,00,00",IT & Software,Job Role,Yes,Lack of opportunity to grow,High pay,Data Science,"Greater than 1,00,000",No,Hyderabad,Culture,More than 3 Hours,Linkedin,Yes,IT & Software,No,
SURVID-33,Male,Vardhaman college of engineering ,Hyderabad ,Engineering,"50,000 - 1,00,000",IT & Software,Company Culture,NO,"Lack of opportunity to grow, Lack of recognition","High pay, Growth oppurtunities",Selenium testing,"Greater than 1,00,000",Yes,Hyderabad ,,Less than 1 Hour,"Linkedin, Naukri",Yes,Healthcare,Yes,E-Commerce
SURVID-34,Male,Vardhaman college of engineering ,Hyderabad ,Engineering,"50,000 - 1,00,000","IT & Software, BPO",Chance to work on new Projects,Yes,Low Pay,"High pay, Growth oppurtunities",Data Science,"40,000 - 50,000",Yes,Mumbai ,,1 - 3 Hours,"Linkedin, Naukri",No,IT & Software,Yes,Healthcare Sector
SURVID-35,Male,Vardhaman college of engineering ,Hyderabad ,Engineering,"Greater than 1,00,00",HR,Job Role,Yes,Lack of opportunity to grow,Growth oppurtunities,,"Greater than 1,00,000",No,Any where,,More than 3 Hours,"Linkedin, Internshala",No,IT & Software,,E-Commerce
SURVID-36,Female,Vardhaman college of engineering ,Hyderabad,Engineering,"50,000 - 1,00,000","IT & Software, HR",Job Role,,High Work Load,"Growth oppurtunities, Recognition",,"50,000 - 1,00,000",No,Hyderabad,,1 - 3 Hours,Linkedin,,IT & Software,No,
SURVID-37,Female,Vardhaman college of engineering ,Hyderabad ,Engineering,"50,000 - 1,00,000","IT & Software, Private pilot",Company Culture,,"Low Pay, Lack of opportunity to grow, Lack of recognition, High Work Load","High pay, Growth oppurtunities, Recognition",Data Science,"Greater than 1,00,000",No,Hyderabad or Bangalore ,Flexible working hours ,More than 3 Hours,"Linkedin, Internshala",No,Healthcare,No,
SURVID-38,Female,Vardhaman college of engineering ,Hyderabad,Engineering,"10,000 - 50,000",IT & Software,Job Role,,"Low Pay, Lack of opportunity to grow, High Work Load","Recognition, Low Work Load",,"50,000 - 1,00,000",Yes,Hyderabad,,1 - 3 Hours,"Linkedin, Internshala",No,IT & Software,No,
SURVID-39,Male,Vardhaman college of engineering ,Hyderabad,Engineering,"Greater than 1,00,00",IT & Software,Salary,,"Low Pay, High Work Load","High pay, Growth oppurtunities, Recognition, Low Work Load",Nothing,"20,000 - 30,000",No,Hyderabad,Not a choice,More than 3 Hours,Naukri,Yes,IT & Software,Yes,AI
SURVID-40,Female,Vardhaman college of engineering ,Hyderabad,Engineering,"10,000 - 50,000",IT & Software,Chance to work on new Projects,,"Low Pay, Lack of opportunity to grow, Lack of recognition, High Work Load","High pay, Growth oppurtunities, Recognition, Low Work Load",Data Science,"40,000 - 50,000",No,Hyderabad,,1 - 3 Hours,Linkedin,No,IT & Software,No,
SURVID-41,Female,Vardhaman college of engineering,Hyderabad,Engineering,"Greater than 1,00,00","IT & Software, HR",Salary,NO,"Low Pay, Lack of opportunity to grow, Lack of recognition, High Work Load","High pay, Growth oppurtunities, Recognition, Low Work Load",HR,"30,000 - 40,000",Yes,Hyderabad,,More than 3 Hours,Naukri,No,IT & Software,No,
SURVID-42,Male,Vardhman college of engineering,Hyderabad,Engineering,"10,000 - 50,000",IT & Software,Salary,Yes,Lack of recognition,High pay,AI,"Greater than 1,00,000",Yes,,,1 - 3 Hours,Naukri,Yes,IT & Software,Yes,AI
SURVID-43,Female,Vardhaman college of engineering,Hyderabad,Engineering,"50,000 - 1,00,000",Electrical govt jobs,Job Role,,Low Pay,Growth oppurtunities,,"40,000 - 50,000",No,Delhi,,More than 3 Hours,,,,,
